N,P,K,humidity,ph,temperature,rainfall,label
49,65,24,48.4,7.14,22.7,78,chickpea
34,67,15,59.7,6.21,20.3,94.7,kidneybeans
34,58,25,51.6,5.87,24.9,80.8,pigeonpeas
22,51,25,69.7,6.53,28.5,100.8,blackgram
22,37,23,65.3,6.23,31.3,100.3,mungbean
30,49,24,46.7,6.76,23.1,55.4,lentil
40,16,35,47.2,6.77,22.6,63.9,pomegranate
33,22,30,52.4,6.76,22.9,68.9,grapes
35,21,17,69.2,7.43,34.5,74.1,watermelon
37,28,17,68.1,6.04,29.9,57.9,muskmelon
60,21,52,82.6,6.46,24.3,224.3,coffee
67,34,50,81.6,6.62,33.8,170.2,jute
77,55,50,78.9,6.49,25.4,244.5,rice
26,18,11,54.8,6.35,24.6,66.2,wheat
26,66,19,67.9,5.98,26.2,112.9,maize
31,17,34,68.6,6.89,29.3,148.2,cotton
98,53,42,82.1,6.66,33.8,124.3,sugarcane
116,78,55,68,7.06,30.6,163.3,banana
36,32,37,67.7,6.92,28.7,112.6,mango
31,15,22,60.9,6.14,18.1,119.8,apple
43,38,37,50.8,7.18,23.2,108.5,orange
50,35,43,71.4,6.3,25.6,226.7,coconut
31,74,17,52.6,6.77,22.1,62.5,chickpea
23,56,27,53.6,6.27,15.4,73.5,kidneybeans
26,52,15,45.7,6.14,22.8,106.4,pigeonpeas
21,44,27,67.3,6.1,26.6,93.1,blackgram
16,43,27,63,6.02,26.3,70.3,mungbean
29,49,15,62.7,6.02,18.9,63.8,lentil
25,34,24,49.2,6.7,29.3,66.3,pomegranate
31,24,29,56.4,6.41,22.8,94.9,grapes
30,22,26,57.9,6.24,28.9,92.6,watermelon
24,25,16,58.7,7.19,29,61.9,muskmelon
99,34,44,82.7,5.34,20.3,187.3,coffee
66,40,50,78.1,6.17,30.4,173.9,jute
87,42,48,86.4,6.2,26.5,238.2,rice
21,21,18,54.1,7.11,18.6,62.5,wheat
23,67,23,70.4,6.47,29.2,106.9,maize
20,24,25,74.4,6.69,31.1,131,cotton
93,50,40,81.3,6.63,24.8,164.2,sugarcane
118,74,60,74,7.4,28,169.5,banana
23,20,29,55.1,7.22,25.3,89.3,mango
40,17,26,63.8,5.82,16.6,85.7,apple
41,39,33,62.4,6.6,24.3,129.2,orange
64,35,42,72.1,6.03,28.5,243.1,coconut
40,60,16,57,6.41,19,55,chickpea
20,60,21,55.3,5.73,20.4,82.9,kidneybeans
29,40,30,57.8,5.9,28.6,112.4,pigeonpeas
35,47,20,70.8,7.03,25.1,93.7,blackgram
25,51,17,72.6,6.9,30.1,90.7,mungbean
22,55,24,56.9,7.09,17.3,55.1,lentil
21,27,30,49.5,6.94,31.2,40.6,pomegranate
43,30,21,54.7,6.77,23.3,78.5,grapes
30,27,28,71.1,6.46,32.6,62.7,watermelon
38,16,21,60,6.96,31.6,58.3,muskmelon
95,29,55,70.1,5.45,19,246.3,coffee
87,31,42,81,6.47,27.3,229.1,jute
73,43,39,87.9,5.97,21.1,192.3,rice
23,13,16,50.2,7.11,19.6,66.6,wheat
34,60,17,66,6.47,23.9,102,maize
33,21,29,66.8,6.31,25.8,124,cotton
103,40,56,71.3,7.16,25.5,137.4,sugarcane
101,85,55,63,7.04,25.7,145.5,banana
20,37,35,50.6,5.67,24.8,77,mango
37,29,22,72,5.64,13.8,123.1,apple
66,28,28,64.7,6.34,21,82.8,orange
65,39,56,85.1,5.78,29.5,213.9,coconut
40,62,25,49.9,6.9,27.2,73.6,chickpea
17,65,28,56.7,5.61,15.7,102.5,kidneybeans
32,40,17,48.7,6.49,20.9,110.7,pigeonpeas
28,50,25,73.6,7.03,27.7,106.4,blackgram
21,38,28,56.9,6.83,28.8,73.7,mungbean
17,52,16,45.5,7.28,18.7,60.7,lentil
28,30,15,57.5,6.18,23.3,78.3,pomegranate
43,38,21,63.5,6.17,21,69.5,grapes
33,25,29,61.3,6.58,27,89.6,watermelon
22,25,20,64.3,7.26,25.8,81.5,muskmelon
70,33,40,84.2,6.49,23.7,202.9,coffee
83,37,39,89.4,6.45,27.2,150.4,jute
100,44,40,83.3,6.52,27.9,203,rice
20,21,15,54.1,6.3,22.5,45.3,wheat
20,60,19,63.7,6.68,25.2,98.5,maize
20,22,29,70.1,6.27,26.1,110.8,cotton
92,49,56,75.5,7.01,33.2,133.7,sugarcane
90,76,45,72.6,7.37,27.4,124.3,banana
42,28,40,58.3,5.81,29.9,93.6,mango
37,31,35,63.8,5.54,11.4,99,apple
62,40,35,57.1,7.21,20.1,86,orange
70,22,46,80.9,6.17,31.5,226.6,coconut
36,69,16,49.1,6.74,21.9,72.8,chickpea
16,62,23,50.7,6.19,19.2,62,kidneybeans
16,48,28,49.7,6.85,26.6,67.2,pigeonpeas
23,40,15,66.6,7.25,25.7,94.3,blackgram
19,53,25,61.9,6.12,26.1,106,mungbean
15,41,15,63.3,6.96,18.9,43.6,lentil
22,27,15,57.9,7.35,24.5,75.7,pomegranate
36,29,34,52.4,6.14,28.3,95,grapes
29,30,25,72.1,7.08,27.1,89.5,watermelon
31,23,15,67.3,7.01,23.9,49.5,muskmelon
82,23,54,71.5,5.62,24.8,167.6,coffee
72,31,49,83.4,6.19,25.8,205,jute
74,42,38,81.5,6.23,20.6,210.7,rice
21,21,13,57.5,6.23,19.7,36.7,wheat
32,62,22,67.4,6.71,24.1,115.5,maize
25,16,35,74.4,6.6,25.2,122.4,cotton
109,57,56,78.8,6.94,31.9,151.3,sugarcane
120,76,50,70.1,6.6,29.8,154.9,banana
29,36,28,51,6.8,33.1,86.7,mango
27,19,20,66.3,6.79,13.1,122.7,apple
57,33,27,58.6,6.56,26.8,86.6,orange
76,36,52,84.3,5.82,27,240.4,coconut
30,70,18,55.5,7.05,21,76.9,chickpea
34,56,17,51.8,6.74,17.7,82.8,kidneybeans
31,53,26,53.2,5.86,31,81,pigeonpeas
26,50,19,66.2,7.32,30,102.1,blackgram
27,47,29,72.1,6.82,28.7,69.7,mungbean
28,55,22,64.3,6.7,22.8,54.4,lentil
25,19,30,43.4,6.93,28.9,73.4,pomegranate
37,37,23,58,6.94,22.2,82.5,grapes
34,21,21,61.9,6.04,31.5,94.4,watermelon
27,18,19,59.3,6.46,27.3,45,muskmelon
88,29,43,72.6,5.89,25.3,209.2,coffee
63,41,36,82.6,6.29,25.9,194.5,jute
97,52,41,85.3,6.17,27.2,219.1,rice
29,13,16,55.1,7.22,18.2,48.5,wheat
25,50,16,64.9,5.93,24,116,maize
21,23,31,70.3,6.93,31.1,123.6,cotton
120,53,58,70.5,6.35,24.3,204.4,sugarcane
98,70,49,66.8,7.39,29.3,155.7,banana
47,31,31,50.4,7.31,29.9,94.3,mango
27,16,25,67.2,6.5,11.5,122.8,apple
52,23,29,69.2,6.16,28.2,115.4,orange
55,33,44,76.1,6.98,29.8,203.8,coconut
41,69,19,59.9,7.07,26.3,76.8,chickpea
20,58,16,55,6.7,21,75.6,kidneybeans
30,53,17,62.7,6.11,30.7,105.9,pigeonpeas
32,43,21,79.2,7.38,29.4,122.9,blackgram
23,35,28,55,6.01,29.8,89.3,mungbean
19,52,15,51.1,6.61,22.5,77.1,lentil
28,25,23,46.1,6.3,22.7,77,pomegranate
50,31,23,54.2,7.22,25.5,54,grapes
35,25,19,62.8,7.16,25.4,73.9,watermelon
24,19,16,51.1,6.58,29.9,80.9,muskmelon
63,32,45,73.2,5.25,22.7,222.1,coffee
70,33,32,75.8,6.6,29.3,157,jute
69,54,44,88.2,5.85,21.6,189.2,rice
26,14,19,51.8,6.22,17.1,45.2,wheat
29,54,23,65.5,5.96,23.6,84.6,maize
26,25,25,68.9,6.47,28.9,118,cotton
113,55,59,70.5,7.49,33.7,214.8,sugarcane
93,87,53,60.3,7,26.9,186.3,banana
39,29,38,58.2,6.2,24.3,101.5,mango
40,35,24,64.6,6.14,15.2,122.9,apple
46,36,27,65.5,6.98,26.1,95.3,orange
78,21,49,82.6,6.03,30.6,161.6,coconut
30,78,17,54.7,7,23.9,78.2,chickpea
28,64,23,63.5,5.67,19.7,88.4,kidneybeans
29,51,15,62.4,6.4,22.4,94.8,pigeonpeas
20,54,30,75.5,7.22,25,80.3,blackgram
16,39,30,62.9,6.75,32.1,73.2,mungbean
20,48,15,52.8,6.68,22.8,46.3,lentil
39,18,17,52.3,7.41,25.4,62.7,pomegranate
30,36,33,52.2,6.97,28.8,58.9,grapes
32,23,21,74.3,6.23,27.2,63.1,watermelon
21,20,20,58.4,6.54,29.7,86.1,muskmelon
99,33,57,76.1,5.15,25.1,164.1,coffee
63,39,48,83.7,6.14,24.3,233,jute
72,53,50,86.4,6.31,22.6,241.6,rice
19,15,17,64.8,7.14,17.9,69.6,wheat
22,51,15,68.9,6.7,28.9,112.8,maize
30,18,33,65.3,6.07,27.9,117.1,cotton
120,42,45,73.3,7.41,29.7,164.2,sugarcane
107,86,56,65.2,7.22,29.3,151.6,banana
37,22,29,53.9,6.61,27.8,130.9,mango
23,35,33,61.8,5.91,15.8,98.7,apple
53,27,37,59.4,7.42,25.4,109.2,orange
66,23,40,76.3,6.89,31.1,232.2,coconut
33,75,15,55.1,7.11,22.8,78.8,chickpea
27,58,22,64.3,5.69,22.4,113,kidneybeans
18,49,24,60,6.88,23.3,96.3,pigeonpeas
35,50,15,66.7,6.87,30.8,106.4,blackgram
27,38,26,65.5,6.93,31.9,80.7,mungbean
29,54,19,56.2,6.56,22.3,63.6,lentil
20,25,17,47.2,6,24.7,73.4,pomegranate
42,34,31,51.6,7.23,22.9,70.5,grapes
27,18,19,63,7.44,29.6,61.2,watermelon
39,24,22,52.2,7.01,23.2,77.5,muskmelon
94,20,60,81.8,5.66,24.9,162.1,coffee
74,45,45,78.5,6.18,26.8,230.5,jute
100,36,50,80.3,5.88,23.7,201.6,rice
26,18,12,51.1,6.24,20.5,37.9,wheat
38,66,30,60.4,6.17,24.3,82.3,maize
20,22,31,72.2,6.86,25.1,111,cotton
86,54,40,81.4,7.31,30.2,216.3,sugarcane
94,83,46,64.9,7.37,28.1,164,banana
22,33,29,59.5,7.05,34.2,105.1,mango
27,27,35,64.7,5.99,10.5,133.3,apple
67,36,28,52,7.04,28.2,99,orange
77,24,60,79.3,5.56,29,195,coconut
34,63,23,54.4,6.48,21.1,77.1,chickpea
28,50,29,65,6.79,16.8,82,kidneybeans
33,47,21,54,5.64,24.7,112.5,pigeonpeas
25,43,30,60.4,7.25,24.2,126.7,blackgram
24,38,26,57.5,6.5,33.5,84.6,mungbean
26,60,15,61.1,6.92,21.4,67.4,lentil
30,15,31,42.7,6.6,27.4,73.6,pomegranate
39,34,24,47.8,6.04,28.8,93.9,grapes
24,28,22,70.1,6.32,28.9,77.5,watermelon
24,26,26,65.4,6.31,33.5,92.3,muskmelon
73,33,46,76,6.27,20.1,209.7,coffee
84,34,30,72.4,6.09,32.1,161.5,jute
60,46,46,76.9,6.77,25.6,222.2,rice
16,14,13,56.7,6.31,21.5,68.8,wheat
36,52,15,66.5,6.23,26.9,93.3,maize
27,24,25,77.3,6.4,27.6,123.4,cotton
103,42,42,80.3,6.54,24.4,131.4,sugarcane
95,77,48,69.5,6.82,25.1,172.3,banana
44,26,23,65.2,7.44,27.3,122.1,mango
36,25,31,66.2,6.05,12.2,109.4,apple
51,23,37,51.9,7.09,18.1,98.4,orange
53,24,47,87.1,5.73,31.4,224.2,coconut
39,64,21,54.6,7.14,26.6,73.6,chickpea
34,68,18,57.5,5.72,24.5,109.8,kidneybeans
26,58,29,53.1,6.7,30.8,83.6,pigeonpeas
32,46,29,78,7.46,28.9,127.3,blackgram
15,42,27,58.8,6.49,32.4,70.8,mungbean
19,46,21,58.3,7.08,17.1,46.4,lentil
21,23,17,46.3,6.92,30.6,65,pomegranate
41,29,35,55.2,6.75,29.8,53.2,grapes
21,25,23,68.5,6.14,23.9,105.2,watermelon
21,22,24,52.9,6.28,26.5,85.2,muskmelon
65,25,40,82.7,6.08,22.5,195,coffee
64,30,33,82.1,6.23,26.3,176.1,jute
94,38,44,88.5,6.31,26.7,233.1,rice
11,14,12,56.3,6.32,16.8,32,wheat
26,54,18,67.9,6.24,27.8,80.2,maize
29,17,35,71,6.25,31.8,103.7,cotton
85,45,47,76.4,6.21,27.5,123.2,sugarcane
107,79,58,65.2,6.55,30,170.2,banana
28,30,39,57.7,6.43,34.2,101.7,mango
20,20,29,65.5,6.68,15.9,99.8,apple
60,40,36,55.9,7.22,27.4,93.4,orange
79,31,57,79.4,6.39,29.2,237.5,coconut
41,77,22,57.1,6.61,24.5,66.4,chickpea
28,54,18,56.4,6.24,20.4,116,kidneybeans
26,51,25,52.2,5.68,23.4,85.9,pigeonpeas
23,58,29,65.1,7.13,29.1,74,blackgram
17,53,17,74.5,6.71,26.6,112.1,mungbean
20,54,25,52.6,6.66,19,75.2,lentil
37,28,32,56.7,6.56,29.2,46,pomegranate
39,33,27,61.9,6.35,29.7,75.3,grapes
23,16,25,74.2,6.4,22.4,75.1,watermelon
28,22,19,59.1,6.19,30.6,97.3,muskmelon
65,21,42,85.1,6.32,20.6,248.3,coffee
88,38,34,72.8,6.26,30.4,205.2,jute
99,43,48,76.5,5.71,25.5,201.5,rice
11,16,11,52.5,6.03,16,56.3,wheat
29,58,23,60.2,6.43,23,103.7,maize
34,16,34,65.8,6.95,29,148.3,cotton
82,45,43,70.6,6.36,29.2,217.5,sugarcane
115,84,56,61.9,7.22,25.1,155.1,banana
44,30,39,68.6,5.6,26.4,139.1,mango
34,31,29,67,5.81,16.4,113.4,apple
42,25,34,65.8,6.53,28.9,85.5,orange
57,33,42,83.6,6.81,27.5,216.1,coconut
44,79,22,45.6,6.46,25.5,78,chickpea
22,66,25,64.8,6.41,21.3,112,kidneybeans
35,41,23,61.8,6.39,23,66.2,pigeonpeas
29,42,24,60.5,7.38,31.4,75,blackgram
17,41,18,57.3,6.95,32.7,63.7,mungbean
19,49,24,57.7,6.04,24.6,49,lentil
31,28,30,44.4,7.31,31.8,57.4,pomegranate
31,26,23,55.5,6.23,29.7,54.7,grapes
20,15,19,64.3,7.16,23.6,119.2,watermelon
32,30,20,55.8,6.73,22.5,86.6,muskmelon
76,34,46,70.2,6.45,20.7,226.4,coffee
72,33,50,78.5,6.98,28.9,220.9,jute
80,37,40,84.5,6.09,23.8,208.2,rice
14,23,11,51.5,7.46,22.1,35.6,wheat
25,54,18,65.2,6.49,27,86.6,maize
22,25,32,78,6.54,28.1,115.2,cotton
105,54,51,82.3,7.38,28.6,120.4,sugarcane
93,77,47,70.5,6.55,31.5,135.3,banana
31,35,27,61,7.26,29,118.5,mango
22,34,30,61.3,6.51,19.5,107.4,apple
56,21,25,53.8,6.84,29.8,89.2,orange
76,39,40,83.1,5.91,31.1,202.5,coconut
34,62,19,48.9,6.44,21.8,74.5,chickpea
32,56,23,60,6.12,15.2,62.2,kidneybeans
15,44,21,45.3,6.13,30,103.6,pigeonpeas
25,50,17,62.6,6.68,27.6,106.1,blackgram
19,45,27,61.3,6.35,26,112.8,mungbean
19,40,17,61.8,6.53,20.5,48.9,lentil
31,20,29,46.9,6.87,23.9,71.5,pomegranate
33,24,35,57.2,6.15,27.8,90.1,grapes
20,23,29,72,6.27,26.9,60.6,watermelon
33,29,15,69.3,7.11,29.4,82.6,muskmelon
70,23,57,74.2,5.73,19.1,197.8,coffee
65,33,44,70.9,7.28,25.8,161.9,jute
68,46,38,79.6,6.18,24,214.4,rice
27,18,14,51.1,6.18,17.8,51.8,wheat
26,69,18,60.8,6.57,23.2,91.5,maize
35,15,26,75,6.21,26,120.6,cotton
92,49,59,83.1,6.07,28.9,141.1,sugarcane
116,85,59,68.2,6.65,26.8,140.2,banana
38,32,35,55.5,6.05,29.5,82.1,mango
29,28,30,69.4,6.78,10.3,116.4,apple
52,39,36,54.1,6.15,25.6,88.1,orange
67,20,50,89.6,5.97,25.3,179.4,coconut
48,67,25,57.8,6.59,27.2,57.8,chickpea
33,56,27,59.2,5.58,19.3,73.9,kidneybeans
22,40,26,47.1,6.87,30.6,62.7,pigeonpeas
29,59,18,73.6,6.53,28,78.3,blackgram
16,36,24,57.1,6.45,24.8,113.3,mungbean
29,42,21,50.8,7.37,23.7,68.3,lentil
20,30,32,53.6,6.88,27.5,66,pomegranate
47,20,23,55.1,6.71,24.1,92.3,grapes
31,29,24,65.7,6.75,26.3,93.3,watermelon
22,21,22,65.1,7.45,32.9,68.2,muskmelon
88,20,60,78.8,6.32,21.6,150.3,coffee
85,39,46,89.8,6.62,28.5,155.8,jute
95,44,38,87.7,6.23,20.1,199.9,rice
26,16,20,62.7,6.68,23.6,56.7,wheat
37,54,20,74.6,6.17,22.9,113.3,maize
33,19,34,68,6.98,32,129.7,cotton
85,57,40,73.1,6.81,25.5,189.2,sugarcane
108,74,52,69.9,7.2,31.7,199.3,banana
31,35,37,51.7,7.21,30,149,mango
30,26,20,74.9,6.12,15.6,81.5,apple
56,28,20,51.2,6.41,21.4,102.8,orange
50,37,59,70.2,5.65,29.3,190,coconut
30,75,22,45.1,6.64,18.7,78.6,chickpea
21,54,22,63.6,5.85,24.9,61.9,kidneybeans
33,41,17,48.7,5.86,22.6,90.3,pigeonpeas
27,53,28,75.5,7.25,28.4,110.1,blackgram
32,37,24,59.8,6.69,30.5,65.9,mungbean
21,43,15,46.6,6.8,22.5,40.6,lentil
38,21,34,51.5,6.55,23.8,45.3,pomegranate
45,40,33,63.1,6.92,27.1,85.4,grapes
30,23,26,71.1,6.64,23,79.2,watermelon
29,20,22,61.1,7.02,33.4,70,muskmelon
85,20,50,75.8,5.32,18.3,221.9,coffee
74,49,49,78.6,6.49,27.4,239.7,jute
81,54,47,78,6.11,27.3,187.8,rice
15,10,14,59.6,7.01,20.9,62.4,wheat
37,66,26,69.1,5.93,29.2,104.6,maize
30,18,27,69.2,6.45,25.6,130.9,cotton
100,56,53,80.3,6.68,28,176.4,sugarcane
95,89,58,64.9,7.43,29.2,165.5,banana
22,35,20,51.2,7.44,26.3,82.4,mango
32,19,33,73.8,6,17,133.4,apple
42,39,37,54.7,6.43,29.1,89,orange
59,27,53,86.7,6.31,31.6,242.9,coconut
42,78,19,47.3,6.96,23.3,78.7,chickpea
35,61,19,50.4,5.7,20.1,83.2,kidneybeans
30,42,28,62.9,5.57,30,62,pigeonpeas
22,48,28,68.2,6.96,25,119.5,blackgram
28,39,18,64.6,6.3,25.4,84.7,mungbean
18,42,19,51.8,6.98,23.1,71.7,lentil
26,22,22,51.7,6.17,25.3,45.6,pomegranate
36,31,27,47.9,6.08,25,61.8,grapes
36,20,23,63.5,7.01,24.2,118.6,watermelon
20,24,20,67.2,6.32,26.7,82.1,muskmelon
64,29,59,85.3,6.15,22.3,169.9,coffee
82,50,47,82.8,6.83,25.5,223.3,jute
83,50,37,86.3,5.99,24.6,215.1,rice
13,22,11,63.1,6.98,22.7,36.2,wheat
24,70,28,73.6,6.38,23.9,86.9,maize
34,15,25,67.7,6.22,28.2,129.9,cotton
111,41,40,73,6.39,31.1,121.8,sugarcane
98,79,55,73.3,7.32,27.3,172.7,banana
41,21,22,60.2,6.57,29,122.9,mango
20,24,32,67.7,5.7,14.8,120.7,apple
65,20,35,58.4,6.1,25.7,128.5,orange
65,29,41,89.6,6.21,31.3,163.8,coconut
36,66,21,51.8,7.14,25.7,78.3,chickpea
20,68,21,53.3,6.4,21.9,88.2,kidneybeans
19,50,17,63.6,6.2,30.2,101.2,pigeonpeas
24,55,16,75.1,6.18,28.4,111.4,blackgram
28,42,22,59,6.45,32.5,83.4,mungbean
22,51,22,57.9,7.18,16.9,67.2,lentil
37,21,20,55.7,7.22,26.3,48.2,pomegranate
32,35,21,63.4,6.26,29.2,52.3,grapes
36,22,16,68.9,7.34,23.8,72.3,watermelon
24,25,21,64,6.99,31.3,70.3,muskmelon
68,25,59,87.3,5.35,24.5,193.4,coffee
78,43,44,84.1,6.76,27.1,236.4,jute
74,38,45,75,6.6,20.3,218,rice
23,10,11,64.6,7.47,20.7,47.6,wheat
35,56,18,61.5,5.87,24.8,80.8,maize
29,19,35,77.9,6.54,26.5,124.2,cotton
99,59,40,73.5,6.56,30.3,170.3,sugarcane
119,70,56,63.2,6.6,30.1,172.3,banana
44,34,32,55.8,6.87,26.2,133.1,mango
40,25,35,65.8,6.74,11.3,101.3,apple
67,25,22,68.4,6.71,22.8,96.2,orange
65,29,57,87.6,6.46,25.9,183.6,coconut
48,69,25,55.2,6.52,23.9,51.8,chickpea
24,54,23,61.3,5.6,22.2,117.2,kidneybeans
33,49,23,58.6,5.8,20.9,70.3,pigeonpeas
16,60,23,70.8,6.72,24.6,77.9,blackgram
34,35,15,68.8,6.08,31.8,81.5,mungbean
18,48,22,56.8,6.93,24.5,64.7,lentil
27,17,25,54.5,6.96,28.8,76.1,pomegranate
42,34,38,55.8,6.16,27.7,72.2,grapes
32,19,22,65.1,7.37,26.5,99.8,watermelon
26,16,15,54.3,6.47,24.4,66.3,muskmelon
85,27,42,82.5,6.03,24.2,228.1,coffee
83,46,48,74.1,6.09,33.3,160,jute
77,36,42,82.6,6.07,21.6,181.5,rice
13,18,20,58.1,6.78,24.7,49.7,wheat
36,68,20,64.1,6.46,22.2,80.4,maize
30,18,34,66.2,6.3,26.5,117.9,cotton
112,56,49,81.8,7.03,31.8,207.6,sugarcane
101,79,50,61.8,7.28,28.2,199.9,banana
21,39,21,57,7.08,27.1,117.3,mango
39,20,28,71.2,5.57,16.2,124.1,apple
51,29,38,56.8,6.12,27.4,80.8,orange
51,22,52,71.4,6.98,31.4,223,coconut
46,67,17,59.4,6.55,27.5,75.4,chickpea
